customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST100000,Male,0,No,Yes,61,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,No,Credit card,36.29,2218.85,Yes
CUST100001,Female,0,No,No,68,Yes,Yes,Fiber optic,No internet service,Yes,Yes,Yes,No internet service,No internet service,One year,Yes,Mailed check,98.17,6669.96,No
CUST100002,Male,0,No,No,62,No,No phone service,No,No,Yes,No,No,No,Yes,Two year,No,Mailed check,104.32,6464.4,No
CUST100003,Male,1,Yes,No,1,Yes,Yes,No,No,No,Yes,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,110.75,114.94,Yes
CUST100004,Male,0,Yes,Yes,53,Yes,No phone service,No,No,No,No internet service,No internet service,No,No,Two year,No,Electronic check,109.67,5816.76,No
CUST100005,Female,0,Yes,No,15,Yes,Yes,Fiber optic,Yes,No,No internet service,No internet service,No,Yes,Two year,No,Electronic check,110.7,1656.88,No
CUST100006,Male,1,Yes,No,54,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No,No internet service,Two year,Yes,Bank transfer,29.47,1598.39,No
CUST100007,Male,0,No,Yes,42,Yes,No phone service,Fiber optic,No,Yes,No,No internet service,Yes,No,One year,No,Credit card,85.95,3615.79,No
CUST100008,Male,1,No,Yes,60,Yes,No phone service,Fiber optic,Yes,No,No,No internet service,No internet service,No,Month-to-month,No,Bank transfer,90.11,5408.92,Yes
CUST100009,Female,1,No,Yes,37,Yes,Yes,DSL,Yes,No,No,No,No,No internet service,Month-to-month,No,Mailed check,46.82,1725.91,Yes
CUST100010,Male,0,No,Yes,44,Yes,No phone service,DSL,No internet service,Yes,No internet service,No internet service,Yes,Yes,Month-to-month,Yes,Credit card,119.29,5256.86,Yes
CUST100011,Male,1,Yes,No,50,Yes,Yes,No,No,No,No,No,No,No,One year,No,Credit card,48.58,2429.55,No
CUST100012,Male,0,No,Yes,41,Yes,No,Fiber optic,No internet service,Yes,No internet service,No internet service,No internet service,Yes,One year,Yes,Mailed check,77.49,3174.62,No
CUST100013,Male,0,Yes,No,23,Yes,Yes,Fiber optic,No,Yes,Yes,No internet service,No,No,One year,No,Mailed check,107.24,2475.07,No
CUST100014,Female,0,No,Yes,29,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,One year,No,Bank transfer,48.92,1428.11,No
CUST100015,Male,1,No,Yes,36,Yes,No phone service,DSL,Yes,No internet service,Yes,No internet service,No,Yes,Month-to-month,No,Electronic check,80.65,2907.74,Yes
CUST100016,Female,0,No,No,52,Yes,Yes,Fiber optic,No internet service,Yes,Yes,Yes,No,No,One year,Yes,Electronic check,92.0,4789.83,No
CUST100017,Female,0,Yes,No,62,No,No,No,No,No internet service,No,Yes,No,No internet service,Month-to-month,No,Mailed check,82.67,5120.48,Yes
CUST100018,Female,0,Yes,No,10,Yes,No phone service,No,No internet service,No,No,Yes,No,No internet service,Two year,Yes,Electronic check,60.6,601.18,No
CUST100019,Male,0,No,Yes,22,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No internet service,Month-to-month,No,Credit card,114.48,2519.94,Yes
CUST100020,Female,0,No,Yes,49,Yes,Yes,No,No internet service,Yes,Yes,Yes,No,Yes,Two year,Yes,Bank transfer,81.23,3989.93,No
CUST100021,Male,0,No,No,54,Yes,No phone service,Fiber optic,Yes,No,Yes,Yes,No internet service,No internet service,One year,No,Electronic check,42.44,2296.62,No
CUST100022,Female,0,Yes,No,54,Yes,No phone service,Fiber optic,No internet service,No internet service,No internet service,Yes,No internet service,No internet service,Two year,No,Mailed check,100.61,5437.86,No
CUST100023,Female,0,Yes,Yes,3,Yes,Yes,No,No,No,Yes,No internet service,No,No,One year,No,Mailed check,85.59,251.92,No
CUST100024,Female,0,Yes,No,53,Yes,Yes,DSL,No internet service,No,No internet service,No,Yes,Yes,Month-to-month,No,Electronic check,30.95,1638.75,No
CUST100025,Female,0,No,No,60,Yes,No phone service,Fiber optic,No,No,No,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,47.81,2865.45,No
CUST100026,Female,0,Yes,Yes,4,Yes,No phone service,Fiber optic,No internet service,No internet service,Yes,No,No,No,One year,No,Mailed check,35.81,139.29,No
CUST100027,Female,1,No,No,17,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card,27.27,468.21,Yes
CUST100028,Female,0,Yes,Yes,43,Yes,No,Fiber optic,No,Yes,Yes,No internet service,Yes,No,Two year,Yes,Bank transfer,43.02,1841.86,No
CUST100029,Female,1,No,Yes,30,Yes,No,No,No,No,No,Yes,No,No internet service,Two year,Yes,Bank transfer,47.81,1427.61,No
CUST100030,Male,0,No,Yes,20,Yes,No phone service,No,No internet service,No,Yes,No internet service,Yes,Yes,Two year,No,Electronic check,66.65,1331.25,No
CUST100031,Male,0,Yes,No,46,No,No phone service,DSL,No internet service,No internet service,No internet service,No,No internet service,Yes,One year,Yes,Credit card,116.93,5374.83,No
CUST100032,Female,0,No,No,29,Yes,No phone service,DSL,Yes,No,No,No internet service,No,No internet service,Two year,Yes,Credit card,114.33,3323.64,No
CUST100033,Female,0,No,No,54,No,Yes,No,No,No internet service,No,No internet service,Yes,No,Two year,Yes,Credit card,95.37,5143.99,No
CUST100034,Female,0,No,No,67,Yes,No phone service,DSL,Yes,No internet service,Yes,No,No,Yes,Two year,Yes,Credit card,84.65,5666.53,No
CUST100035,Male,0,Yes,Yes,68,Yes,Yes,No,Yes,No internet service,No internet service,Yes,No,Yes,Two year,Yes,Mailed check,114.73,7795.2,No
CUST100036,Female,0,No,Yes,40,Yes,No phone service,DSL,No,No,No internet service,No internet service,No internet service,Yes,Two year,No,Electronic check,34.24,1376.77,No
CUST100037,Male,0,Yes,No,44,Yes,No phone service,No,Yes,Yes,No internet service,No,No,No internet service,Two year,No,Bank transfer,53.03,2327.36,No
CUST100038,Male,0,Yes,No,29,Yes,Yes,Fiber optic,No internet service,No internet service,Yes,No internet service,Yes,No,One year,No,Bank transfer,75.33,2181.61,No
CUST100039,Male,0,No,No,44,No,No phone service,Fiber optic,Yes,Yes,No,No internet service,Yes,No internet service,Two year,No,Credit card,101.39,4464.55,No
CUST100040,Male,0,Yes,No,44,Yes,No phone service,No,No internet service,No internet service,Yes,No internet service,Yes,Yes,One year,No,Bank transfer,82.38,3616.27,No
CUST100041,Male,0,No,Yes,44,Yes,No phone service,Fiber optic,No,No,No internet service,Yes,No,No,One year,Yes,Electronic check,100.89,4445.49,No
CUST100042,Female,1,Yes,No,54,Yes,No,No,No,No internet service,No internet service,No internet service,No,No,One year,No,Bank transfer,35.31,1910.87,No
CUST100043,Female,0,No,Yes,58,Yes,No phone service,DSL,No,No internet service,No,No internet service,No internet service,No internet service,Two year,No,Mailed check,39.27,2272.88,No
